"init_locations","moves","final_locations","stars_time","end_time","rt","trial_type","trial_index","time_elapsed","internal_node_id","button_pressed"
"[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]","[object Object]","389.29999999701977","7226.29999999702","6837","order","0","6843","0.0-0.0",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","7227.39999999851","7433.5","206.10000000149012","order","1","7049","0.0-1.0",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","7434.20000000298","7657.60000000149","223.39999999850988","order","2","7274","0.0-2.0",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","7658.29999999702","7865.89999999851","207.60000000149012","order","3","7482","0.0-3.0",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","7866.39999999851","8073.60000000149","207.20000000298023","order","4","7690","0.0-4.0",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","8074.29999999702","8281.29999999702","207","order","5","7897","0.0-5.0",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","8281.89999999851","8489.70000000298","207.80000000447035","order","6","8106","0.0-6.0",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","8490.29999999702","8697.60000000149","207.30000000447035","order","7","8314","0.0-7.0",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","8698.39999999851","8905.70000000298","207.30000000447035","order","8","8522","0.0-8.0",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","8906.39999999851","9097.60000000149","191.20000000298023","order","9","8714","0.0-9.0",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","9098","9309.5","211.5","order","10","8925","0.0-10.0",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","9310","9485.5","175.5","order","11","9101","0.0-11.0",""
"[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object]","[object Object]","9486","13569.5","4083.5","order","12","13185","0.0-12.0",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","13570","13745.60000000149","175.60000000149012","order","13","13362","0.0-13.0",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","13746.29999999702","13969.70000000298","223.40000000596046","order","14","13586","0.0-14.0",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","13970.29999999702","14161.29999999702","191","order","15","13777","0.0-15.0",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","14161.70000000298","14369.89999999851","208.19999999552965","order","16","13986","0.0-16.0",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","14370.39999999851","14577.60000000149","207.20000000298023","order","17","14194","0.0-17.0",""
"","","","","","1475.3000000044703","html-button-response","18","15670","0.0-18.0","2"
