"init_locations","moves","final_locations","stars_time","end_time","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","stimulus","button_pressed"
"[object Object],[object Object],[object Object],[object Object]","[object Object]","[object Object]","379.5","2875.300000011921","2495.800000011921","order","0","2501","0.0-0.0","1688673396747","conditionB","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","2877.099999964237","3034.899999976158","157.80000001192093","order","1","2660","0.0-1.0","1688673396747","conditionB","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","3036.199999988079","3242.899999976158","206.69999998807907","order","2","2868","0.0-2.0","1688673396747","conditionB","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","3243.899999976158","3402.899999976158","159","order","3","3028","0.0-3.0","1688673396747","conditionB","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","3404.300000011921","3594.800000011921","190.5","order","4","3220","0.0-4.0","1688673396747","conditionB","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","3595.5","3787.099999964237","191.5999999642372","order","5","3412","0.0-5.0","1688673396747","conditionB","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","3788.099999964237","3995.399999976158","207.30000001192093","order","6","3620","0.0-6.0","1688673396747","conditionB","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","3996.300000011921","4186.899999976158","190.5999999642372","order","7","3812","0.0-7.0","1688673396747","conditionB","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","4187.800000011921","4379","191.19999998807907","order","8","4004","0.0-8.0","1688673396747","conditionB","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","4380.199999988079","4587.199999988079","207","order","9","4212","0.0-9.0","1688673396747","conditionB","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","4588.399999976158","4798.899999976158","210.5","order","10","4424","0.0-10.0","1688673396747","conditionB","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","4799.699999988079","4990.800000011921","191.10000002384186","order","11","4616","0.0-11.0","1688673396747","conditionB","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","4991.800000011921","5215","223.19999998807907","order","12","4840","0.0-12.0","1688673396747","conditionB","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5215.899999976158","5423.199999988079","207.30000001192093","order","13","5048","0.0-13.0","1688673396747","conditionB","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5423.800000011921","5631.099999964237","207.29999995231628","order","14","5256","0.0-14.0","1688673396747","conditionB","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5632","5838.899999976158","206.89999997615814","order","15","5464","0.0-15.0","1688673396747","conditionB","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5839.599999964237","6046.699999988079","207.10000002384186","order","16","5672","0.0-16.0","1688673396747","conditionB","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","6047.599999964237","6271.199999988079","223.60000002384186","order","17","5896","0.0-17.0","1688673396747","conditionB","",""
"","","","","","1745.800000011921","html-button-response","18","7644","0.0-18.0","1688673396747","conditionB","<p>How difficult was it to order the pictures?</p>","2"
